preference_key,movie_title,star_cast,rating,year,place,vote,link
1,La sociedad de los poetas muertos,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.052276421868596,1989,209,,/title/tt0097165/
2,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",8.052062496566592,1953,210,,/title/tt0046438/
3,Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.051644210940648,1955,211,,/title/tt0048473/
4,Pelotón,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.047367242088326,1986,212,,/title/tt0091763/
1,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.047351000177802,1976,213,,/title/tt0075148/
2,Contra lo imposible,"James Mangold (dir.), Matt Damon, Christian Bale",8.045770510871137,2019,214,,/title/tt1950186/
3,Cuenta conmigo,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.04226164520595,1986,215,,/title/tt0092005/
4,Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.041451038457199,1984,216,,/title/tt0088247/
1,En primera plana,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.039347589606631,2015,217,,/title/tt1895587/
2,Rush: Pasión y gloria,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.039306649740574,2013,218,,/title/tt1979320/
3,Camino salvaje,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.037510947301941,2007,219,,/title/tt0758758/
4,Poder que mata,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.037161337737297,1976,220,,/title/tt0074958/
1,El mago de Oz,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.036068151562496,1939,221,,/title/tt0032138/
2,Logan: Wolverine,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.0354834631891,2017,222,,/title/tt3315342/
3,Hechizo del tiempo,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.032555366626994,1993,223,,/title/tt0107048/
4,Ratatouille,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.031921102577522,2007,224,,/title/tt0382932/
1,El exorcista,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.028457237051535,1973,225,,/title/tt0070047/
2,Antes del atardecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.028296246007846,2004,226,,/title/tt0381681/
3,Lo mejor de nuestra vida,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.026203214661125,1946,227,,/title/tt0036868/
4,Los increíbles,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.025592061461724,2004,228,,/title/tt0317705/
1,Ser o no ser,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.024715662896902,1942,229,,/title/tt0035446/
2,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.022691382698225,1940,230,,/title/tt0032976/
3,Viacrucis,"John Ford (dir.), Henry Fonda, Jane Darwell",8.0226207248757,1940,231,,/title/tt0032551/
4,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.022456248393482,1966,232,,/title/tt0058946/
1,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.021740781209413,2009,233,,/title/tt1028532/
2,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.021423414775102,1967,234,,/title/tt0061512/
3,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.020932954758596,2000,235,,/title/tt0245712/
4,Piratas del Caribe - La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.018871467079999,2003,236,,/title/tt0325980/
1,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.016298222454902,1959,237,,/title/tt0053198/
2,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.016110217149397,1995,238,,/title/tt0113247/
3,El pecado compartido,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.015799790712453,1966,239,,/title/tt0060827/
4,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.01500969574745,1975,240,,/title/tt0071411/
1,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.01484288792907,1979,241,,/title/tt0079470/
2,Babam ve Oglum,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.014352127482415,2005,242,,/title/tt0476735/
3,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.013622072186642,1934,243,,/title/tt0025316/
4,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.013503030476809,1965,244,,/title/tt0059742/
1,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.009182772791746,2016,245,,/title/tt4016934/
2,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.007095202794112,1992,246,,/title/tt0103639/
3,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.006620872833976,1982,247,,/title/tt0083987/
4,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.005445707806743,2021,248,,/title/tt15097216/
1,Historias cruzadas,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.004723977572036,2011,249,,/title/tt1454029/
2,La bella y la bestia,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",8.00308787461453,1991,250,,/title/tt0101414/
